GTEx_Tissue	KGP_Tissue	Archaics_Tissue	RawPipeline_Tissue
Adipose_Subcutaneous	Adipose-Subcutaneous	adipose_subcutaneous	AdiposeSubQ
Adipose_Visceral_Omentum	adipose_visceral_omentum	adipose_visceral_omentum	AdiposeOmentum
Adrenal_Gland	AdrenalGland	adrenal_gland	Adrenal
Artery_Aorta	Artery-Aorta	artery_aorta	ArteryAorta
Artery_Coronary	Artery-Coronary	artery_coronary	ArteryCoronary
Artery_Tibial	Artery-Tibial	artery_tibial	ArteryTibial
Brain_Amygdala	NaN	NaN	BrainAmygdala
Brain_Anterior_cingulate_cortex_BA24	Brain-Anteriorcingulatecortex-BA24	anterior_cingulate_cortex	BrainACC
Brain_Caudate_basal_ganglia	Brain-Caudate-basalganglia	brain_caudate_basal_ganglia	BrainCaudate
Brain_Cerebellar_Hemisphere	Brain-CerebellarHemisphere	brain_cerebellar_hemisphere	BrainCerebellarHemi
Brain_Cerebellum	Brain-Cerebellum	brain_cerebellum	BrainCerebellum
Brain_Cortex	Brain-Cortex	brain_cortex	BrainCortex
Brain_Frontal_Cortex_BA9	Brain-FrontalCortex-BA9	brain_frontal_cortex	BrainFrontalCortex
Brain_Hippocampus	Brain-Hippocampus	brain_hippocampus	BrainHippocampus
Brain_Hypothalamus	Brain-Hypothalamus	brain_hypothalamus	BrainHypothalamus
Brain_Nucleus_accumbens_basal_ganglia	Brain-Nucleusaccumbens-basalganglia	brain_nucleus_accumbens_basal_ganglia	BrainNucAccumbens
Brain_Putamen_basal_ganglia	Brain-Putamen-basalganglia	brain_putamen_basal_ganglia	BrainPutamen
Brain_Spinal_cord_cervical_c-1	NaN	NaN	BrainSpinalCord
Brain_Substantia_nigra	NaN	NaN	BrainSubstantiaNigra
Breast_Mammary_Tissue	Breast-MammaryTissue	breast_mammary_tissue	Breast
Cells_Cultured_fibroblasts	Cells-Transformedfibroblasts	cells_transformed_fibroblasts	CellsFibroblasts
Cells_EBV-transformed_lymphocytes	cells_ebv-transformed_lymphocytes	cells_ebv_transformed_lymphocytes	CellsLymphocytes
Colon_Sigmoid	Colon-Sigmoid	colon_sigmoid	ColonSigmoid
Colon_Transverse	Colon-Transverse	colon_transverse	ColonTransverse
Esophagus_Gastroesophageal_Junction	Esophagus-GastroesophagealJunction	esophagus_gastroesophageal_junction	EsophagusGEJxn
Esophagus_Mucosa	Esophagus-Mucosa	esophagus_mucosa	EsophagusMucosa
Esophagus_Muscularis	Esophagus-Muscularis	esophagus_muscularis	EsophagusMuscularis
Heart_Atrial_Appendage	Heart-AtrialAppendage	heart_atrial_appendage	HeartAtrialAppendage
Heart_Left_Ventricle	left_ventricle	left_ventricle	HeartLV
Kidney_Cortex	NaN	NaN	KidneyCortex
Liver	Liver	liver	Liver
Lung	Lung	lung	Lung
Minor_Salivary_Gland	NaN	NaN	MinorSalivaryGland
Muscle_Skeletal	Muscle-Skeletal	muscle_skeletal	MuscleSkeletal
Nerve_Tibial	Nerve-Tibial	nerve_tibial	NerveTibial
Ovary	Ovary	ovary	Ovary
Pancreas	Pancreas	pancreas	Pancreas
Pituitary	Pituitary	pituitary	Pituitary
Prostate	prostate	prostate	Prostate
Skin_Not_Sun_Exposed_Suprapubic	Skin-NotSunExposed-Suprapubic	skin_nosun_suprapubic	SkinSuprapubic
Skin_Sun_Exposed_Lower_leg	Skin-SunExposed-Lowerleg	skin_sun_lower_leg	SkinLowerLeg
Small_Intestine_Terminal_Ileum	SmallIntestine-TerminalIleum	small_intestine_terminal_ileum	SITerminalIleum
Spleen	Spleen	spleen	Spleen
Stomach	Stomach	stomach	Stomach
Testis	testis	testis	Testis
Thyroid	thyroid	thyroid	Thyroid
Uterus	uterus	uterus	Uterus
Vagina	vagina	vagina	Vagina
Whole_Blood	WholeBlood	whole_blood	WholeBlood